Time Scale; Number of Packets; Total data; 
1; 5228108; 262050230.000000; 
2; 727119; 36432175.000000; 
3; 766029; 38407441.000000; 
4; 800612; 40131590.000000; 
5; 857890; 43002783.000000; 
6; 805711; 40388062.000000; 
7; 779616; 39083334.000000; 
8; 772221; 38707192.000000; 
9; 710109; 35594936.000000; 
10; 820168; 41098071.000000; 
11; 800549; 40121649.000000; 
12; 817802; 40986288.000000; 
13; 895912; 44904786.000000; 
14; 853998; 42785107.000000; 
15; 847813; 42498186.000000; 
16; 859060; 43078972.000000; 
17; 755257; 37858832.000000; 
18; 706474; 35404448.000000; 
19; 834867; 41841183.000000; 
20; 796560; 39925709.000000; 
21; 764039; 38306858.000000; 
22; 801106; 40149828.000000; 
23; 726707; 36443356.000000; 
24; 711919; 35679464.000000; 
25; 739845; 37093142.000000; 
26; 703034; 35256720.000000; 
27; 830472; 41612983.000000; 
28; 745370; 37348160.000000; 
29; 799548; 40071213.000000; 
30; 696565; 34905659.000000; 
31; 669212; 33541403.000000; 
32; 705007; 35336524.000000; 
33; 765998; 38389029.000000; 
34; 794014; 39798730.000000; 
35; 707645; 35462536.000000; 
36; 730965; 36626607.000000; 
37; 858176; 43016654.000000; 
38; 777883; 38982348.000000; 
39; 759087; 38053769.000000; 
40; 771854; 38681857.000000; 
41; 788376; 39518653.000000; 
42; 749626; 37568586.000000; 
43; 879046; 44064742.000000; 
44; 785662; 39370124.000000; 
45; 764167; 38313681.000000; 
46; 808401; 40507988.000000; 
47; 817792; 40987397.000000; 
48; 781968; 39180300.000000; 
49; 790834; 39629716.000000; 
50; 747496; 37462493.000000; 
51; 836883; 41955064.000000; 
52; 813585; 40770985.000000; 
53; 792985; 39745095.000000; 
54; 730471; 36616981.000000; 
55; 774581; 38815176.000000; 
56; 800510; 40118929.000000; 
57; 701336; 35153149.000000; 
58; 817138; 40956010.000000; 
59; 770775; 38619135.000000; 
60; 757325; 37959744.000000; 
61; 712352; 35698661.000000; 
62; 753795; 37781624.000000; 
63; 766167; 38396535.000000; 
64; 730098; 36582642.000000; 
65; 738471; 37026413.000000; 
66; 765906; 38377760.000000; 
67; 875818; 43901149.000000; 
68; 794594; 39815614.000000; 
69; 810374; 40630832.000000; 
70; 749533; 37575282.000000; 
71; 772072; 38700395.000000; 
72; 777321; 38957787.000000; 
73; 796733; 39908863.000000; 
74; 795546; 39868629.000000; 
75; 798641; 40034987.000000; 
76; 700648; 35114536.000000; 
77; 805599; 40377434.000000; 
78; 790721; 39634984.000000; 
79; 788266; 39507076.000000; 
80; 768745; 38525808.000000; 
81; 807973; 40500139.000000; 
82; 747106; 37448218.000000; 
83; 782419; 39215943.000000; 
84; 732643; 36731856.000000; 
85; 790622; 39623422.000000; 
86; 789685; 39567278.000000; 
87; 775687; 38888097.000000; 
88; 776054; 38905603.000000; 
89; 765583; 38385767.000000; 
90; 801190; 40144861.000000; 
91; 800527; 40119501.000000; 
92; 806530; 40428955.000000; 
93; 773280; 38772740.000000; 
94; 770413; 38616519.000000; 
95; 775557; 38876515.000000; 
96; 750068; 37593956.000000; 
97; 802072; 40207419.000000; 
98; 800150; 40098316.000000; 
99; 763741; 38270967.000000; 
100; 751435; 37663255.000000; 
101; 740453; 37116888.000000; 
102; 888074; 44518857.000000; 
103; 879686; 44093111.000000; 
104; 869766; 43606618.000000; 
105; 870229; 43614481.000000; 
106; 861535; 43190847.000000; 
107; 830091; 41607903.000000; 
108; 751429; 37648871.000000; 
109; 767598; 38476298.000000; 
110; 704050; 35290926.000000; 
111; 841633; 42191979.000000; 
112; 824307; 41318645.000000; 
113; 772151; 38697025.000000; 
114; 724933; 36349929.000000; 
115; 741882; 37180366.000000; 
116; 683727; 34271158.000000; 
117; 722111; 36197504.000000; 
118; 796838; 39933887.000000; 
119; 799973; 40105193.000000; 
120; 745995; 37384611.000000; 
121; 758423; 38000096.000000; 
122; 823068; 41254034.000000; 
123; 840262; 42111907.000000; 
124; 760021; 38092252.000000; 
125; 823888; 41286654.000000; 
126; 748691; 37527133.000000; 
127; 777048; 38943171.000000; 
128; 791063; 39650341.000000; 
129; 776586; 38931212.000000; 
130; 790684; 39641759.000000; 
131; 785761; 39384180.000000; 
132; 745193; 37363657.000000; 
133; 807902; 40499331.000000; 
134; 762833; 38247967.000000; 
135; 808078; 40497016.000000; 
136; 765242; 38346855.000000; 
137; 819225; 41056473.000000; 
138; 816330; 40911310.000000; 
139; 814610; 40835360.000000; 
140; 775220; 38851587.000000; 
141; 831563; 41669685.000000; 
142; 765372; 38363519.000000; 
143; 684530; 34312729.000000; 
144; 712907; 35735441.000000; 
145; 746803; 37444964.000000; 
146; 820932; 41139568.000000; 
147; 784546; 39323522.000000; 
148; 807622; 40482112.000000; 
149; 806377; 40425087.000000; 
150; 753968; 37782365.000000; 
151; 764928; 38355365.000000; 
152; 738833; 37044874.000000; 
153; 800627; 40141212.000000; 
154; 816162; 40893343.000000; 
155; 806147; 40404301.000000; 
156; 774304; 38805720.000000; 
157; 851964; 42709726.000000; 
158; 828917; 41543664.000000; 
159; 818789; 41033292.000000; 
160; 824235; 41302747.000000; 
161; 747079; 37437859.000000; 
162; 696140; 34895504.000000; 
163; 756205; 37893634.000000; 
164; 834351; 41826904.000000; 
165; 718854; 36032701.000000; 
166; 888256; 44500248.000000; 
167; 780448; 39130289.000000; 
168; 785068; 39345487.000000; 
169; 810715; 40640025.000000; 
170; 787669; 39488390.000000; 
171; 760891; 38142726.000000; 
172; 819005; 41039363.000000; 
173; 797158; 39950639.000000; 
174; 757116; 37930716.000000; 
175; 800337; 40105643.000000; 
176; 780929; 39141779.000000; 
177; 802406; 40220844.000000; 
178; 817546; 40971862.000000; 
179; 776149; 38887599.000000; 
180; 720709; 36126299.000000; 
181; 759187; 38042516.000000; 
182; 777360; 38957215.000000; 
183; 807619; 40493786.000000; 
184; 813318; 40760084.000000; 
185; 791977; 39696530.000000; 
186; 739250; 37044157.000000; 
187; 770345; 38614654.000000; 
188; 776847; 38932639.000000; 
189; 819897; 41089518.000000; 
190; 755591; 37867982.000000; 
191; 729758; 36571918.000000; 
192; 765890; 38367615.000000; 
193; 770961; 38638664.000000; 
194; 766383; 38405767.000000; 
195; 792885; 39753260.000000; 
196; 825842; 41399898.000000; 
197; 780969; 39148134.000000; 
198; 795727; 39880450.000000; 
199; 764890; 38343716.000000; 
200; 724686; 36314231.000000; 
201; 717090; 35938035.000000; 
202; 785785; 39376472.000000; 
203; 672458; 33704667.000000; 
204; 720140; 36090273.000000; 
205; 845008; 42345686.000000; 
206; 794063; 39802357.000000; 
207; 756324; 37918961.000000; 
208; 860332; 43125257.000000; 
209; 800686; 40127812.000000; 
210; 770850; 38634081.000000; 
211; 756842; 37924750.000000; 
212; 774797; 38840864.000000; 
213; 805168; 40370265.000000; 
214; 707476; 35465858.000000; 
215; 742499; 37207585.000000; 
216; 748556; 37523392.000000; 
217; 690154; 34589444.000000; 
218; 720667; 36120154.000000; 
219; 662822; 33223840.000000; 
220; 730216; 36608156.000000; 
221; 726604; 36407649.000000; 
222; 739355; 37065708.000000; 
