Time Scale; Number of Packets; Total data; 
1; 964161; 48324634.000000; 
2; 918608; 46042219.000000; 
3; 944459; 47346878.000000; 
4; 947312; 47482308.000000; 
5; 927092; 46452164.000000; 
6; 918752; 46042212.000000; 
7; 918253; 46030880.000000; 
8; 918497; 46044885.000000; 
9; 916328; 45919952.000000; 
10; 922992; 46277481.000000; 
11; 916006; 45927855.000000; 
12; 916995; 45970714.000000; 
13; 917736; 45992173.000000; 
14; 918682; 46037616.000000; 
15; 917941; 46016960.000000; 
16; 922545; 46230118.000000; 
17; 925390; 46382186.000000; 
18; 921156; 46171289.000000; 
19; 911709; 45704754.000000; 
20; 917972; 46012293.000000; 
21; 918130; 46022283.000000; 
22; 922238; 46229206.000000; 
23; 922636; 46232717.000000; 
24; 922001; 46210902.000000; 
25; 921627; 46195194.000000; 
26; 921902; 46207922.000000; 
27; 942460; 47233907.000000; 
28; 950991; 47682772.000000; 
29; 933069; 46770584.000000; 
30; 923491; 46295610.000000; 
31; 922968; 46252303.000000; 
32; 927862; 46506049.000000; 
33; 919959; 46108088.000000; 
34; 916735; 45955203.000000; 
35; 917383; 45973247.000000; 
36; 920397; 46115694.000000; 
37; 920537; 46142324.000000; 
38; 924145; 46314979.000000; 
39; 921433; 46170558.000000; 
40; 918567; 46041835.000000; 
41; 919933; 46113968.000000; 
42; 917805; 45986451.000000; 
43; 920091; 46127016.000000; 
44; 923994; 46319218.000000; 
45; 926611; 46440087.000000; 
46; 913011; 45745213.000000; 
47; 909792; 45610263.000000; 
48; 919039; 46068298.000000; 
49; 917104; 45960779.000000; 
50; 919504; 46072070.000000; 
51; 947340; 47486299.000000; 
52; 949235; 47555927.000000; 
53; 930754; 46639351.000000; 
54; 921620; 46190006.000000; 
55; 917284; 45993906.000000; 
56; 919119; 46060481.000000; 
57; 918503; 46026263.000000; 
58; 919907; 46094735.000000; 
59; 924895; 46354726.000000; 
60; 926744; 46443403.000000; 
61; 918725; 46049576.000000; 
62; 913251; 45775020.000000; 
63; 918551; 46030953.000000; 
64; 918109; 46020670.000000; 
65; 917916; 46016769.000000; 
66; 919921; 46103632.000000; 
67; 922240; 46226621.000000; 
68; 924462; 46335478.000000; 
69; 921213; 46165517.000000; 
70; 920058; 46115795.000000; 
71; 919909; 46102833.000000; 
72; 918065; 46010999.000000; 
73; 918516; 46035012.000000; 
74; 919834; 46130216.000000; 
75; 946831; 47464185.000000; 
76; 950340; 47613831.000000; 
77; 930475; 46638889.000000; 
78; 919620; 46097497.000000; 
79; 920926; 46161592.000000; 
80; 922452; 46232032.000000; 
81; 922113; 46213035.000000; 
82; 923628; 46322664.000000; 
83; 918720; 46056107.000000; 
84; 915619; 45893940.000000; 
85; 919141; 46081609.000000; 
86; 918937; 46054640.000000; 
87; 918765; 46055966.000000; 
88; 918522; 46024408.000000; 
89; 923536; 46286416.000000; 
90; 928350; 46538505.000000; 
91; 914961; 45857184.000000; 
92; 917527; 45994892.000000; 
93; 915873; 45902823.000000; 
94; 920433; 46128290.000000; 
95; 917342; 45986254.000000; 
96; 922274; 46242434.000000; 
97; 919692; 46097726.000000; 
98; 917190; 45963649.000000; 
99; 944064; 47311118.000000; 
100; 950873; 47667212.000000; 
101; 933419; 46784126.000000; 
102; 924241; 46324970.000000; 
103; 923991; 46306235.000000; 
104; 924053; 46324744.000000; 
105; 921877; 46196280.000000; 
106; 921856; 46218645.000000; 
107; 918943; 46052120.000000; 
108; 919077; 46051294.000000; 
109; 883398; 44280712.000000; 
110; 917568; 45986730.000000; 
111; 918985; 46065995.000000; 
112; 918803; 46055947.000000; 
113; 920086; 46113204.000000; 
114; 915725; 45886034.000000; 
115; 919199; 46067804.000000; 
116; 921495; 46205589.000000; 
117; 923259; 46272696.000000; 
118; 927043; 46464606.000000; 
119; 922576; 46248092.000000; 
120; 916774; 45970806.000000; 
121; 918856; 46056673.000000; 
122; 915923; 45887640.000000; 
123; 944296; 47343351.000000; 
124; 948554; 47542498.000000; 
125; 928656; 46536516.000000; 
126; 918577; 46045360.000000; 
127; 918903; 46057315.000000; 
128; 921765; 46203177.000000; 
129; 918601; 46048954.000000; 
130; 919822; 46105362.000000; 
131; 922685; 46247584.000000; 
132; 927944; 46506741.000000; 
133; 915055; 45857610.000000; 
134; 916638; 45948645.000000; 
135; 920676; 46136414.000000; 
136; 918870; 46069143.000000; 
137; 919682; 46113422.000000; 
138; 917459; 45982850.000000; 
139; 920928; 46164510.000000; 
140; 923921; 46304519.000000; 
141; 919624; 46088182.000000; 
142; 920009; 46122045.000000; 
143; 919776; 46086728.000000; 
144; 918567; 46037963.000000; 
145; 922093; 46214901.000000; 
146; 925946; 46402322.000000; 
147; 942899; 47248971.000000; 
148; 947583; 47494133.000000; 
149; 933412; 46782003.000000; 
150; 924455; 46329669.000000; 
151; 924217; 46315525.000000; 
152; 924008; 46329822.000000; 
153; 922784; 46251976.000000; 
154; 918489; 46025039.000000; 
155; 921728; 46188175.000000; 
156; 916765; 45964207.000000; 
157; 917607; 45981824.000000; 
158; 917577; 45985117.000000; 
159; 920003; 46114915.000000; 
160; 925307; 46367821.000000; 
161; 924904; 46342284.000000; 
162; 920654; 46134711.000000; 
163; 917845; 46014800.000000; 
164; 916114; 45914359.000000; 
165; 917716; 45987781.000000; 
166; 919757; 46087475.000000; 
167; 919266; 46062403.000000; 
168; 919822; 46106174.000000; 
169; 919688; 46092256.000000; 
170; 924404; 46336912.000000; 
171; 946808; 47450495.000000; 
172; 948872; 47560500.000000; 
173; 930321; 46641899.000000; 
174; 929312; 46576513.000000; 
175; 922349; 46233239.000000; 
176; 918909; 46045916.000000; 
177; 916852; 45952161.000000; 
178; 915201; 45871016.000000; 
179; 916129; 45910836.000000; 
180; 919546; 46089018.000000; 
181; 923530; 46298399.000000; 
182; 917245; 45978437.000000; 
183; 919759; 46113246.000000; 
184; 921283; 46174757.000000; 
185; 918763; 46036095.000000; 
186; 918239; 46029564.000000; 
187; 918482; 46041043.000000; 
188; 919856; 46105127.000000; 
189; 925565; 46379938.000000; 
190; 926156; 46441933.000000; 
191; 920753; 46168082.000000; 
192; 917218; 45978155.000000; 
193; 916632; 45950012.000000; 
194; 917178; 45969647.000000; 
195; 944416; 47335472.000000; 
196; 949777; 47602112.000000; 
197; 929383; 46583871.000000; 
198; 920640; 46140869.000000; 
199; 920270; 46129457.000000; 
200; 920139; 46117552.000000; 
201; 923089; 46270887.000000; 
202; 923078; 46260936.000000; 
203; 924381; 46333423.000000; 
204; 922252; 46241782.000000; 
205; 919446; 46087732.000000; 
206; 921752; 46199372.000000; 
207; 917647; 45981991.000000; 
208; 921767; 46202389.000000; 
209; 919068; 46069282.000000; 
210; 919593; 46088703.000000; 
211; 924065; 46315050.000000; 
212; 922615; 46246293.000000; 
213; 919006; 46064969.000000; 
214; 918089; 46014742.000000; 
215; 922088; 46211690.000000; 
216; 918326; 46017909.000000; 
217; 920207; 46130025.000000; 
218; 923603; 46293065.000000; 
219; 944641; 47345569.000000; 
220; 946690; 47454232.000000; 
221; 932394; 46733998.000000; 
222; 920081; 46104856.000000; 
223; 920066; 46101912.000000; 
224; 919365; 46097608.000000; 
225; 919505; 46095077.000000; 
226; 919274; 46069679.000000; 
227; 923432; 46288738.000000; 
228; 917693; 46014392.000000; 
229; 919007; 46065770.000000; 
230; 919888; 46100644.000000; 
231; 918273; 46029000.000000; 
232; 920835; 46149425.000000; 
233; 922704; 46243875.000000; 
234; 927104; 46470057.000000; 
235; 922086; 46208417.000000; 
236; 921118; 46180551.000000; 
237; 915450; 45892567.000000; 
238; 917859; 46002449.000000; 
239; 922300; 46236525.000000; 
240; 923540; 46281540.000000; 
241; 921098; 46158298.000000; 
242; 915491; 45893541.000000; 
243; 945669; 47388013.000000; 
244; 949301; 47588059.000000; 
245; 934307; 46852671.000000; 
246; 926207; 46414895.000000; 
247; 923374; 46285800.000000; 
248; 925660; 46391909.000000; 
249; 915234; 45879715.000000; 
250; 920148; 46115003.000000; 
251; 917713; 45997268.000000; 
252; 918520; 46023933.000000; 
253; 916919; 45963527.000000; 
254; 921604; 46191520.000000; 
